Orden Ejecución,Fase Estratégica,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Flujo Maestro,Aprendizaje Clave,Prompt Maestro / Referencia,Descripción Detallada,Nivel de Dificultad,Justificación Modelo,Estrategia Detallada de Ejecución,Correciones pendientes
11,Fase 1: Ingesta (El Ojo),4.09,04 Scraper,PDF Validator & Causa Filter,Alta,Listo,4.0,Content Validation,Data Quality Gate,"PROMPT: Build validation pipeline for captured PDFs. Filters: 1) Size: reject <5KB and >100MB. 2) URL origin: must come from causa document section, not /ayuda/ or /manual/. 3) Content: verify %PDF magic bytes. 4) Deduplication: SHA-256 hash check against Supabase. 5) ROL tagging: tag every PDF with confirmed ROL, document type, and timestamp.","Puerta de validación entre la captura y el upload. Cada PDF capturado por las Layers 1 y 2 debe pasar esta cadena de filtros antes de subirse a Supabase. FILTRO 1 (Tamaño): Rechaza archivos menores a 5KB (probablemente iconos de ayuda o PDFs inline decorativos) y mayores a 100MB (corruptos o fuera de rango). FILTRO 2 (Origen URL): Verifica que la URL del PDF pertenezca a la sección de documentos de la causa, descartando PDFs de /ayuda/, /manual/, /faq/, /instrucciones/. FILTRO 3 (Contenido): Verifica los magic bytes '%PDF' al inicio del archivo. FILTRO 4 (Deduplicación): Calcula hash SHA-256 y lo compara contra documentos ya subidos para esa causa en Supabase, evitando duplicados. FILTRO 5 (ROL Tagging): Etiqueta cada PDF aprobado con el ROL confirmado, tipo de documento inferido (resolución, escrito, actuación, notificación), y timestamp de captura. Esta metadata es ESENCIAL para que el RAG (3.02) asocie correctamente cada documento a su causa sin contaminación cruzada.",Alta,"Lógica de validación crítica para integridad de datos. Un filtro mal calibrado contamina toda la cadena RAG. Requiere precisión en hashing, validación binaria y clasificación documental.","Cycle 2x obligatorio: primera pasada implementa filtros, segunda verifica con edge cases (PDFs de 1 byte, renombrados, duplicados con metadata distinta). MAX Mode para ver estructura de Storage.",
12,Fase 1: Ingesta (El Ojo),4.1,04 Scraper,Human Throttle & Anti-WAF,Alta,Listo,3.0,Chrome API,Bot Evasion,"PROMPT: Build client-side throttling module. Gaussian random delays (2.5-7s, Box-Muller), burst protection (max 5/min), single concurrent request, full mouse event simulation (mouseover/mousedown/mouseup/click with randomized coordinates), session jitter.",Sistema de timing client-side que hace indistinguible al scraper de un humano lento. SOLUCIÓN A Vulnerabilidades 3.1 (Rate Limiting/WAF) y 3.2 (Fingerprinting). DELAYS GAUSSIANOS: Distribución gaussiana (Box-Muller) centrada en ~4.5s con varianza natural (2.5-7s). Un Math.random() uniforme es detectable; la gaussiana imita timing humano real. BURST PROTECTION: Máximo 5 acciones por ventana de 60 segundos. CONCURRENCIA ÚNICA: 1 request a la vez. SIMULACIÓN DE MOUSE: Secuencia completa de eventos con coordenadas aleatorias. NOTA: Complementario a 4.04 (Rate Guard server-side). 4.10 protege la IP del estudio jurídico ante el WAF del PJud. 4.04 protege nuestro servidor ante bots externos.,Media,Implementación matemática (distribución gaussiana) y simulación de eventos DOM.,MAX Mode para integrarlo con el Strategy Engine (4.08) y asegurar que todas las acciones del scraper pasen por el throttle.,
13,Fase 1: Ingesta (El Ojo),4.11,04 Scraper,Sync UI & User Confirmation Flow,Alta,Listo,6.0,Composer Directo,One-Click UX,PROMPT: Update Extension Sidepanel with complete sync flow: 1) Auto-display detected ROL and causa info from 4.07. 2) Preview list of found documents. 3) User confirms with 'Sincronizar' button. 4) Real-time progress bar (Layer 1 → Layer 2 → Filtering → Upload). 5) Results summary. 6) Manual Drag-Drop zone only if automatic layers fail.,"Actualización del Sidepanel con el flujo completo de sincronización. PASO 1: Al navegar a una causa en pjud.cl, el Sidepanel muestra automáticamente: 'Causa C-12345-2026 - Juzgado Civil de Santiago - 15 documentos encontrados'. PASO 2: Preview de documentos agrupados por tipo (resoluciones, escritos, actuaciones). PASO 3: Abogado presiona 'Sincronizar' (UN SOLO CLICK). PASO 4: Barra de progreso: Captura (L1/L2) → Filtrado (4.09) → Validación → Upload (4.03). PASO 5: Resultado: '12/15 sincronizados (2 duplicados descartados, 1 rechazado por tamaño)'. PASO 6: Si L1+L2 fallan, aparece Drag & Drop (Layer 3). CLAVE UX: Aunque incluye confirmación de causa (el abogado ve qué se va a sincronizar), debe sentirse como fricción cero. La detección es automática; el botón es uno solo. El upload manual es un último recurso que ojalá nunca se use.",Alta,"UI compleja con múltiples estados (detección, preview, progreso, resultados, fallback). Sonnet es superior en UI/UX interactiva.",MAX Mode obligatorio para integrar con módulos 4.07-4.10 y mantener coherencia visual con el Sidepanel existente.,
14,Fase 2: Digestión (El Cerebro),3.01,03 Cerebro,Gemini 3.0 API Setup,Alta,Backlog,4.0,Secrets Management,Multimodal AI,PROMPT: Configure Google AI Studio SDK with dual model routing. Create server-side utility: gemini-3-flash for Fast Chat and gemini-3-pro for Deep Thinking. Single API key and SDK install. Model selection via config constant.,"Configuración del SDK Google AI (@google/generative-ai) con routing dual de modelos. ESTRATEGIA DE MODELOS (Benchmark Legal LM Arena Feb 2026): 1) Fast Chat → gemini-3-flash (Score Legal #1: 1510 puntos. Precio: $0.30/$2.50 por M tokens input/output). 2) Deep Thinking → gemini-3-pro con thinking mode habilitado (Score Legal #4: 1501 puntos. Precio: $2/$12 por M tokens input/output). JUSTIFICACIÓN ECONÓMICA: Con un solo modelo Pro para todo un usuario Pro pesado (1000 chats + 100 deep thinking) costaría ~$34.60/mes. Con Flash para chat el costo baja a ~$20/mes (margen 60% sobre $50/mes). Fair Use soft cap de 3,000 chats/mes protege contra usuarios extremos. IMPLEMENTACIÓN: Un solo paquete SDK una sola API key. El routing es una constante de configuración: mode === 'deep_thinking' ? 'gemini-3-pro' : 'gemini-3-flash'. Se crea utilidad server-side en src/lib/gemini.ts con función getModel(mode) que retorna la instancia correcta. Se elimina la lógica de enrutamiento complejo. La diferenciación de planes sigue siendo persistencia de datos (eterna vs 3 días) y cantidad de Deep Thinking.",Media,Conocimiento nativo de su propia API (Google AI SDK). Mejor para configuraciones de Vertex/Gemini.,Implementación de utilidad SDK. Tarea autocontenida.,
15,Fase 2: Digestión (El Cerebro),2.04,02 Storage,Supabase Vector Store,Alta,Backlog,4.0,Dashboard AI,Vector Embeddings,PROMPT: Enable pgvector extension and create 'document_embeddings' table. Optimized for legal text retrieval.,Habilitación de la extensión 'pgvector' en la base de datos Postgres de Supabase y creación de la tabla 'document_embeddings'. Esta tabla almacenará las representaciones vectoriales (embeddings) de los textos legales extraídos de los PDF. Es el cerebro de la búsqueda semántica que permitirá a la IA encontrar precedentes o párrafos específicos dentro de los expedientes.,Alta,Manejo de bases de datos grandes y extensiones específicas (pgvector). Contexto amplio útil para SQL complejos.,Configurar pgvector. Gemini puede inferir índices óptimos leyendo la estructura de datos definida en tareas anteriores.,
16,Fase 1: Ingesta (El Ojo),4.12,04 Scraper,SQL: Document Hashes Table,Alta,Backlog,2.0,Dashboard AI,Server-side Dedup,PROMPT: SQL migration for document_hashes table. Columns: user_id (uuid) rol (text) hash (text) filename (text) document_type (text) uploaded_at (timestamptz). RLS: Users read/insert own rows. UNIQUE(user_id hash).,Migración SQL para crear tabla 'document_hashes' en Supabase. Resuelve que la deduplicación de PDFs depende de chrome.storage.local (se pierde al cambiar PC / no funciona entre abogados del mismo estudio / se borra al limpiar navegador). La tabla almacena hash SHA-256 de cada PDF subido asociado a user_id y ROL. Permite: 1) Deduplicación server-side persistente. 2) Que dos abogados del mismo estudio no dupliquen documentos. 3) Que el PdfValidator (4.09) consulte hashes antes de subir. 4) Que el PDF Parser (4.02) registre hashes tras procesar. 5) Que la tarea 4.13 (Re-Sync Awareness) consulte hashes existentes para detectar documentos nuevos y calcular delta de sincronización. RLS: Cada usuario solo ve sus propios hashes. NOTA TÉCNICA: loadExistingHashes() en PdfValidator debe migrar de chrome.storage.local a consultar esta tabla y DEBE ser invocado al inicio de sync() en StrategyEngine para que la deduplicación funcione correctamente entre sesiones.,Media,Precisión en esquema SQL y políticas RLS. Complementa tabla profiles (1.04).,Migración SQL directa. MAX Mode para alinear con tabla profiles y bucket case-files existentes.,
17,Fase 3: Producción (El Escudo),4.02,04 Scraper,PDF Parsing Edge Fn,Media,Backlog,6.0,Edge Functions,OCR/Text Extraction,PROMPT: Implement PDF text extraction using pdf-parse or similar inside a Supabase Edge Function to avoid timeouts.,"Implementación de una Edge Function en Supabase dedicada al procesamiento de archivos PDF pesados. Dado que los expedientes pueden ser grandes, se utiliza una función Serverless (Edge) para extraer el texto plano de los PDFs subidos. Esto evita que el servidor principal se bloquee y permite escalar el procesamiento de múltiples documentos simultáneamente. ACTUALIZACIÓN POST-SCRAPER: Los PDFs ahora llegan pre-etiquetados con ROL y tipo de documento. El parser debe: 1) Propagar ROL y tipo como metadata del texto extraído. 2) Extraer número de folio si está presente en el contenido del PDF. 3) Registrar el hash SHA-256 en la tabla document_hashes (4.12) para deduplicación server-side persistente.",Alta,Ventana de contexto masiva ideal para procesar y entender estructuras de PDFs legales complejos.,Implementar función Edge. Gemini maneja bien la lógica de parsing de documentos grandes.,
18,Fase 2: Digestión (El Cerebro),3.02,03 Cerebro,RAG Pipeline Base,Alta,Backlog,10.0,Composer Max Mode,Context Retrieval,PROMPT: Implement RAG pipeline. Two modes: 1) 'Fast Chat' (Standard RAG) using gemini-3-flash. 2) 'Deep Thinking' (Agentic Chain of Thought) using gemini-3-pro with thinking mode. Both modes require ROL as mandatory context parameter.,Implementación del pipeline RAG. ACTUALIZACIÓN: Implementar dos modos. 1) 'Fast Chat': RAG estándar (Búsqueda + Respuesta) para consultas rápidas. 2) 'Deep Thinking' (Limitado): Agente autónomo con Chain of Thought que planifica pasos antes de responder exclusivo para usuarios con créditos disponibles. MODELOS DE PRODUCCIÓN (Feb 2026): Fast Chat invoca gemini-3-flash (Score Legal #1 en LM Arena: 1510 puntos. $0.30/$2.50 por M tokens. Menor latencia óptimo para respuestas rápidas). Deep Thinking invoca gemini-3-pro con thinking mode habilitado ($2/$12 por M tokens. Razonamiento más profundo ideal para Chain of Thought legal). Ambos modelos usan el mismo SDK configurado en 3.01; la selección se hace via getModel(mode). ACTUALIZACIÓN POST-SCRAPER: El RAG DEBE recibir el ROL como parámetro de contexto obligatorio. Al buscar embeddings filtrar SOLO por la causa consultada (ROL) para evitar contaminación cruzada entre causas. Cuando el abogado pregunte sobre una causa la IA responde exclusivamente con información de esa causa.,Muy Alta,El 'Cerebro' del sistema. Requiere máxima capacidad lógica para orquestar RAG y evitar alucinaciones.,Usar 'Plan' primero. Cycle 4x para generar 4 estrategias de RAG (ej. HyDE vs Vector simple) y elegir la mejor. MAX Mode obligatorio.,
19,Fase 1: Ingesta (El Ojo),4.13,04 Scraper,Re-Sync Awareness & Sync Incremental,Alta,Backlog,7.0,Composer Directo,Incremental Sync UX,PROMPT: Implement re-sync awareness in Extension Sidepanel. When user enters a previously synced causa: 1) Query document_hashes (4.12) for sync state. 2) Compare page documents vs stored hashes to find delta. 3) Show contextual UI based on sync state (new/synced/partial). 4) Show persistent AI context warning if docs missing. 5) Execute incremental sync (only new docs). 6) Fix loadExistingHashes() integration in StrategyEngine.sync().,FUNCIONALIDAD CRÍTICA PARA INTEGRIDAD DEL ANÁLISIS LEGAL CON IA. Cuando un abogado navega a una causa que YA fue sincronizada previamente el sistema actual ejecuta el mismo flujo que una causa nueva (detectar → confirmar → sincronizar todo). Esta tarea implementa consciencia de estado de sincronización previa y sync incremental real. PASO 1 (DETECCIÓN DE ESTADO PREVIO): Al detectar el ROL (4.07) consultar inmediatamente la tabla document_hashes (4.12) para obtener cuántos documentos ya están sincronizados para ese ROL y usuario. PASO 2 (CÁLCULO DE DELTA): Cruzar los documentos detectados en la página actual (preview de 4.07) contra los hashes almacenados. Calcular: docs_ya_sincronizados / docs_nuevos / docs_totales. PASO 3 (UI CONTEXTUAL EN SIDEPANEL - Tres estados): A) CAUSA NUEVA (0 hashes previos): Flujo normal de 4.11 sin cambios. B) CAUSA AL DÍA (delta = 0): Mostrar 'Causa C-XXXXX-YYYY sincronizada ✓ (N documentos). Todo al día.' con indicador verde. Botón Sincronizar deshabilitado o en modo 'Verificar'. C) CAUSA CON DOCUMENTOS NUEVOS (delta > 0): Mostrar 'Causa C-XXXXX-YYYY ya sincronizada (N docs). X documento(s) nuevo(s) disponible(s).' con indicador naranja/amarillo y botón prominente 'Sincronizar nuevos'. PASO 4 (ADVERTENCIA DE CONTEXTO INCOMPLETO - CRÍTICO LEGAL): Si existen documentos NO sincronizados mostrar advertencia prominente e imposible de ignorar junto a cualquier funcionalidad de IA (chat / editor de escritos / análisis): '⚠ ATENCIÓN: Existen X documento(s) de esta causa que NO han sido sincronizados. Las respuestas de la IA se basan en información INCOMPLETA. Una resolución adversa / un plazo fatal / un argumento de la contraparte podría estar en los documentos faltantes. Sincronice todos los documentos antes de tomar decisiones basadas en el análisis de IA.' Esta advertencia es ESENCIAL en el contexto legal: un abogado que consulta a la IA sin todo el expediente puede recibir un análisis que omite información crítica que podría cambiar completamente la estrategia del caso. La advertencia debe persistir visible mientras haya documentos pendientes de sincronización; NO puede ser descartada con un simple 'cerrar'. PASO 5 (SYNC INCREMENTAL REAL): El botón 'Sincronizar nuevos' ejecuta sync() con loadExistingHashes() precargado desde document_hashes (4.12) de modo que el PdfValidator (4.09) descarte automáticamente los ya subidos via hash SHA-256 y SOLO suba los documentos nuevos. Elimina re-transferencia innecesaria y acelera la sincronización. El resumen debe reflejar: 'X nuevos sincronizados (Y ya existían)'. PASO 6 (FIX GAP ACTUAL EN STRATEGY ENGINE): Integrar llamada a pdfValidator.loadExistingHashes(supabaseClient / userId / rol) al inicio de sync() en StrategyEngine. Actualmente esta función existe en PdfValidator pero NO se invoca en el flujo de sync lo que impide que la deduplicación funcione entre sesiones. Este fix es prerequisito para que el sync incremental funcione. DEPENDENCIAS: Requiere 4.12 (document_hashes table) / 4.07 (causa context detector) / 4.09 (pdf validator con loadExistingHashes) / 4.11 (sync UI base).,Alta,UI compleja con múltiples estados condicionales y lógica de comparación de hashes. Sonnet es óptimo para interfaces interactivas con estados dinámicos.,MAX Mode obligatorio para integrar con módulos 4.07 / 4.09 / 4.11 y 4.12 existentes. Cycle 2x: primera pasada implementa detección de estado y UI condicional; segunda verifica edge cases (causa con 0 docs nuevos / causa con docs parcialmente descargados / primera sincronización). Probar que la advertencia de contexto incompleto aparece consistentemente y no puede ser ignorada.,
20,Fase 1: Ingesta (El Ojo),5.01,05 Frontend,Vistas de Casos (Extensión + Dashboard),Alta,Backlog,12.5,Composer Directo,No-Upload UX,PROMPT: UI cases list for Sidepanel (primary) and Dashboard (secondary admin panel). Updates automatically when files are synced via Extension. Use React 19 useOptimistic hook for immediate feedback in the Sidepanel.,"Desarrollo de las vistas de listado de causas en DOS contextos: 1) VISTA PRINCIPAL en el Sidepanel de la Extensión de Chrome (donde el usuario trabaja diariamente), y 2) VISTA ADMINISTRATIVA en el Dashboard Web (para revisión y gestión desde escritorio). La clave es la sincronización en tiempo real: ambas interfaces deben actualizarse automáticamente (sin recargar) en cuanto la Extensión sube un nuevo expediente, utilizando las capacidades de suscripción a base de datos de Supabase o revalidación de Next.js. Se debe implementar el hook 'useOptimistic' de React 19 en el Sidepanel para mostrar el archivo en la lista inmediatamente mientras se sube en segundo plano. ACTUALIZACIÓN POST-SCRAPER: Cada PDF llega con metadata de ROL tribunal carátula y tipo de documento. La vista debe AGRUPAR documentos por causa (carpetas con ROL como título) y dentro de cada causa organizar por tipo (resoluciones escritos actuaciones notificaciones). No usar lista plana de archivos.",Muy Alta,"Complejidad alta de Frontend (Estado optimista, Sincronización Real-time). Sonnet brilla en React complejo.",MAX Mode crucial para ver tanto el código del Sidepanel como del Dashboard y unificar la lógica de visualización.,
21,Fase 2: Digestión (El Cerebro),3.03,03 Cerebro,Editor de Escritos con IA,Alta,Backlog,12.0,Composer Directo,AI Writing Assistant,"PROMPT: Create AI-assisted rich text editor using Tiptap/Slate. Features: 'Rewrite legalese', 'Expand argument'. Lives in Extension Sidepanel.","Desarrollo del editor de textos jurídicos potenciado por IA dentro del Sidepanel de la Extensión. Utilizando librerías como Tiptap o Slate.js, se crean funcionalidades específicas para abogados: un botón 'Reescribir formal', 'Expandir argumento jurídico', o 'Citar jurisprudencia'. El editor debe permitir la interacción fluida entre el texto que escribe el abogado y las sugerencias de la IA en tiempo real.",Muy Alta,Editor de texto rico (Rich Text) requiere manejo experto de DOM y UI interactiva compleja.,Cycle 4x para proponer diferentes UX de interacción IA-Abogado (ej. menú flotante vs sidebar). Sonnet implementa la ganadora.,
