Orden,Fase,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Descripción Detallada,Nivel Dificultad,Dependencias,Modelo Pricing Referencia,IA Planificación (Ask Mode),IA Ejecución (Agent Mode),IA Corrección,Clasificación Ejecución,Horas Rev.,Capa 1: IA Consultor Legal,Capa 2: Textos Legales (bcn.cl),Capa 3: Causas Reales PJUD,Capa 4: Abogado Validación
12,Fase 1: Ingesta (Scraper v2),4.15,04 Scraper v2,JWT Viability Testing (Pruebas A-B-C),Alta,Listo,3.0,Tarea manual. 6 pruebas — A-C (MVP v1 Consulta Unificada) + D-F (MVP v1.1 Mis Causas). En Git Bash: A) curl PDF endpoint (docuS.php?dtaDoc=JWT) con cookies PHPSESSID+TS01262d1d → confirmar baseline. B) curl PDF sin cookies → determinar si JWT es autosuficiente (API proxy pura) o necesita sesión (fetch desde extensión). C) curl POST a causaCivil.php con JWT+CSRF token → confirmar acceso a HTML detalle causa. Documentar: tiempos expiración JWT (~1h observado) + comportamiento token CSRF (d4ebad366cfb4ef74fee967f43ee94f2) + cookie F5 WAF (TS01262d1d). Resultado de A-C define arquitectura de sync MVP v1. PRUEBAS MVP v1.1 (requieren clave abogado → 4.21): D) curl PDF endpoint con cookies de sesión Mis Causas (PHPSESSID autenticado) → determinar si descargas requieren cookies obligatoriamente. E) curl POST a causaCivil.php desde sesión autenticada Mis Causas → verificar si JWT se comporta igual que desde Consulta Unificada. F) Probar acceso a causa libro/tipo f desde Mis Causas → confirmar que DOM2 es idéntico. Resultado de D-F define si API Sync (4.17) necesita modo dual con cookies.,Baja,4.14,,-,-,-,Manual,2.0,,,,
13,Fase 1: Ingesta (Scraper v2),4.16,04 Scraper v2,JWT Extractor Module (Extension),Alta,Listo,8.0,Módulo nuevo en extensión. Reemplaza CausaContext (4.07) + DOMAnalyzer (4.08). Lectura PASIVA del DOM visible (cero clics + cero navegación). Extrae: 1) ROL + metadata de table.table-titulos (tribunal + estado adm + procedimiento + etapa + ubicación + fecha ingreso). 2) JWTs de forms directos: Texto Demanda (docu.php) + Certificado Envío (docCertificadoDemanda.php) + Ebook (newebookcivil.php). 3) JWT de Anexos (onclick=anexoCausaCivil). 4) JWTs de cada option en select#selCuaderno (nombre + JWT). 5) JWT de Receptor (onclick=receptorCivil). 6) CSRF token del DOM. 7) Datos tabulares de 5 tabs (ya presentes en HTML del modal). 8) Lista de folios visibles con JWTs de sus forms (doc principal + certificado escrito). 9) Carátula completa desde fila clickeada en DOM1 (#verDetalle) — NOTA: DOM1 solo disponible en Consulta Unificada; desde Mis Causas el caratulado debe extraerse de DOM2 o ser nullable (ver 4.21). 10) Campo libro_tipo de la causa (c/v/e/a/f/i) desde ROL visible. Envía paquete CausaPackage JSON al service-worker → API. DISEÑO DUAL ENTRY POINT: interfaz CausaPackage con procedimiento (del DOM: 'ordinario'|'ejecutivo'|'sumario'|'monitorio'|'voluntario') + libro_tipo (de la letra del ROL) + caratula nullable + materia (código PJUD) + fuente ('consulta_unificada' | 'mis_causas') + cookies opcionales. NOTA: procedimiento es el eje principal de routing; libro_tipo es metadata. MVP v1: modo Consulta Unificada (caratulado desde DOM1 + libro_tipo detectable + fuente='consulta_unificada'). MVP v1.1: modo Mis Causas (todo desde DOM2 + caratulado best-effort o null + cookies capturadas → ver 4.21). Soportar todos los procedimientos civiles — tipo f solo accesible desde Mis Causas.,Alta,4.14 + 4.15,-,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Sonnet 4.5 (cerebro) | Debug | Max ON,Semi-manual,4.5,-,-,Validar selectores CSS del módulo contra HTML real capturado en 4.14. Probar extracción de JWTs con 5+ causas reales de diferentes procedimientos (ordinario + ejecutivo + sumario) Y diferentes libro/tipo (al menos c + v + e). Verificar que metadata extraída (ROL + tribunal + procedimiento + etapa + libro_tipo) coincide con lo visible en PJUD. Verificar extracción de caratulado desde DOM1. MVP v1.1: probar extracción desde Mis Causas con causa tipo f (ver 4.21).,-
14,Fase 1: Ingesta (Scraper v2),4.17,04 Scraper v2,API Route /api/scraper/sync,Alta,Listo,12.0,API Route /api/scraper/sync (Node.js runtime). Recibe paquete CausaPackage (JWTs + metadata + cookies opcionales según 4.15) desde extensión. Pipeline: 1) Registrar/actualizar causa en DB (cases table con ROL + Tribunal + Carátula nullable + procedimiento (campo propio: 'ordinario'|'ejecutivo'|'sumario'|'monitorio'|'voluntario') + libro_tipo (metadata para display/filtros) + materia (código PJUD original) + fuente_sync — DECISIÓN ARQUITECTURAL: procedimiento es EJE PRINCIPAL de routing (determina plazos/estructura/prompts/acciones). libro_tipo (c/v/e/a/f/i) se conserva como metadata para display y filtros en UI. Razón: tipo c es ambiguo (puede ser ordinario O sumario O monitorio) → procedimiento resuelve la ambigüedad). 2) Descargar PDFs directos (Texto Demanda + Certificado + Ebook) via GET con JWT. 3) Para cada cuaderno: POST a causaCivil.php con JWT del cuaderno → parsear HTML respuesta → extraer JWTs de cada folio → descargar PDFs (doc principal + certificado escrito por folio). 4) POST a endpoint Anexos con JWT → parsear HTML → descargar archivos. 5) Upload cada PDF a Supabase Storage (case-files) + registrar en documents + document_hashes (SHA-256). 6) Actualizar cases.document_count + cases.last_synced_at (para 4.19). Retornar lista de documentos nuevos descargados con metadata (tipo + folio + cuaderno + fecha) para feedback al usuario. 7) Disparar processing queue (7.05) para extracción de texto. Throttle server-side: 500ms-1s entre requests a PJUD. Deduplicación: skip si hash ya existe. Respuesta SSE/polling para progreso tiempo real. Timeout: 5 min máx por sync. Validación: reusar lógica de 4.09 server-side. SOPORTE DUAL ENTRY POINT: si fuente='mis_causas' → incluir cookies PHPSESSID en headers de fetch a PJUD. Si fuente='consulta_unificada' → solo JWT. Registrar procedimiento (campo propio) + libro_tipo (metadata) + materia (código PJUD) + fuente_sync en tabla cases. Caratula puede ser null si viene de Mis Causas sin DOM1. MVP v1: solo fuente 'consulta_unificada' (sin cookies). MVP v1.1: agregar soporte 'mis_causas' con cookies (ver 4.21).,Muy Alta,4.15 + 4.16 + 4.03,-,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual,7.0,-,-,Probar pipeline completo con 5+ causas reales: una ordinaria + una ejecutiva + una sumaria + causas de diferentes libro/tipo (al menos c + v + e). Validar parsing de HTML responses de causaCivil.php contra responses reales capturadas. Verificar deduplicación haciendo re-sync de causa ya sincronizada. Confirmar que todos los PDFs descargados son válidos (magic bytes + contenido legible).,-
15,Fase 1: Ingesta (Scraper v2),4.18,04 Scraper v2,Sync UI v2 (Sidepanel),Alta,Listo,5.0,Actualización del Sidepanel (reemplaza 4.11). Flujo: 1) Abogado navega a causa en PJUD. 2) Extensión lee DOM pasivamente (4.16) → muestra preview: ROL + tribunal + carátula + N cuadernos + N folios detectados. 3) Si causa ya sincronizada: compara folios visibles vs cases.document_count → muestra 'Puede haber documentos nuevos desde [last_synced_at]. Sincronizar?' o 'Actualizada'. 4) Abogado presiona Sincronizar. 5) Extensión envía JWTs al API (4.17). 6) Barra de progreso con SSE: Descargando documento 5/47... + Cuaderno 2 de 3... 7) Resultado: N documentos nuevos + N existentes + N errores. CLAVE UX: abogado puede seguir navegando PJUD durante la sync. Si cierra pestaña sync continúa en servidor.,Alta,4.16 + 4.17,-,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 | Debug | Max OFF,Delegable,3.0,-,-,-,-
16,Fase 1: Ingesta (Scraper v2),4.19,04 Scraper v2,Change Detection & Post-Sync Feedback (Simplificado),Media,Listo,2.5,SIMPLIFICADO PARA MVP (reemplaza fingerprint completo). Usa campos existentes en tabla cases: document_count + last_synced_at (ya existen en schema). SIN tabla nueva causa_fingerprints. DETECCIÓN AL REVISITAR: extensión lee DOM visible → cuenta folios visibles por cuaderno → compara contra cases.document_count guardado → si difiere: muestra en sidepanel 'Puede haber documentos nuevos desde [last_synced_at]. Sincronizar?'. Lectura pasiva sin requests adicionales a PJUD. POST-SYNC FEEDBACK (UX CLAVE): al completar sync (4.17) la dedup SHA-256 (document_hashes) ya distingue nuevos vs existentes → el resultado del sync retorna lista de documentos nuevos descargados con metadata (tipo + folio + cuaderno + fecha). 4.18 (Sync UI) muestra: 'Se descargaron N documentos nuevos: [Resolución folio 48 15/02/2026 + Escrito folio 49 18/02/2026 + ...]'. BADGE NUEVO EN VISTAS (5.01): documents.created_at > cases.last_synced_at (de sync anterior) → badge 'Nuevo' en vista de casos del sidepanel. El abogado ve visualmente cuáles documentos son nuevos al abrir su causa. ACTUALIZACIÓN DE CAMPOS: al completar sync exitoso → UPDATE cases SET document_count = (SELECT COUNT(*) FROM documents WHERE case_id = X) + last_synced_at = NOW(). Funciona independientemente del entry point y del procedimiento.,Media,4.17,-,Sonnet 4.5 (cerebro) | Max OFF,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 | Debug | Max OFF,Delegable,1.5,-,-,-,-
17,Fase 1: Ingesta (Scraper v2),4.20,04 Scraper v2,Soporte DOMs adicionales (Receptor + Geo + Tabs),Baja,Listo,4.0,Soporte incremental para secciones PJUD no incluidas en sync MVP. Requiere completar mapeo DOM (4.14). Secciones: 1) Modal Receptor (#modalReceptorCivil): información notificaciones receptor + certificaciones + diligencias. Endpoint: receptorCivil(JWT). 2) Modal Georreferencia (#modalGeoReferenciaCivil): ubicación geográfica de diligencias judiciales (mapa). Endpoint: geoReferencia(JWT). 3) Datos tabulares de tabs no descargados: Notificaciones (estado + tipo + fecha + resultado + obs fallida) + Escritos por Resolver (pendientes del tribunal con fecha ingreso) + Exhortos (rol origen + destino + tribunal + estado). Cada sección: mapeo DOM → actualizar JWT Extractor (4.16) → agregar parsing en API Sync (4.17) → almacenar datos en DB. Implementar tras validar MVP con cuadernos + anexos + docs directos.,Media,4.17,-,Sonnet 4.5 (cerebro) | Max OFF,Sonnet 4.5 (cerebro) | Max ON,Sonnet 4.5 | Debug | Max OFF,Semi-manual,3.0,-,-,Requiere HTML real de DOM3 (modal Anexos) y DOM5 (modal Receptor) capturado en 4.14. Probar con causas que tengan actuaciones de receptor y anexos adjuntos. Validar que datos tabulares de tabs (Notificaciones + Escritos por Resolver + Exhortos) se extraen correctamente comparando contra PJUD.,-
18,Fase 2: Digestión (Pipeline),7.01,07 Pipeline,SQL: UNIQUE Constraint Cases,Alta,Listo,5.0,REFACTORIZADO: UNIQUE INDEX en cases(user_id + rol + COALESCE(tribunal)) — SIN caratula en constraint. Caratula pasa a campo informativo/enrichment (puede ser null si causa viene de Mis Causas sin DOM1). Migración 20260213140000 actualizada. NUEVAS COLUMNAS en tabla cases: procedimiento TEXT nullable (valores: 'ordinario'|'ejecutivo'|'sumario'|'monitorio'|'voluntario' — EJE PRINCIPAL DE ROUTING para prompts/acciones/plazos/chunking) + libro_tipo TEXT nullable (valores: c/v/e/a/f/i — METADATA para display/filtros en UI) + materia TEXT nullable (código PJUD original: M09/M10/M11/etc.) + fuente_sync TEXT DEFAULT 'consulta_unificada' (valores: 'consulta_unificada' | 'mis_causas'). Migración adicional para nuevos campos. DECISIÓN ARQUITECTURAL: procedimiento resuelve la ambigüedad de libro_tipo c (que puede ser ordinario O sumario O monitorio). libro_tipo se conserva porque viene en el ROL y es útil para display. Upload route con manejo de constraint violation. RAZÓN DEL CAMBIO: el caratulado solo está disponible en DOM1 (Consulta Unificada); causas sincronizadas desde Mis Causas (MVP v1.1) o causas tipo f no tendrán DOM1. ROL + tribunal ya identifican unívocamente una causa en PJUD.,Alta,4.12,-,-,-,-,-,-,-,-,-,
19,Fase 2: Digestión (Pipeline),7.02,07 Pipeline,SQL: Tabla extracted_texts + document_chunks,Alta,Listo,4.0,Dos tablas nuevas. 1) extracted_texts: texto plano extraído por PDF (document_id FK + full_text + extraction_method ['pdf-parse'|'document-ai'] + page_count + status). 2) document_chunks: fragmentos para RAG (extracted_text_id FK + case_id FK + chunk_index + chunk_text + page_number + section_type + metadata JSONB). RLS por user_id. Índices en case_id y document_id.,Alta,7.01,,GPT-5.3 Codex Extra High (cerebro) | Max ON,GPT-5.3 Codex Extra High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Debug | Max OFF,-,-,-,-,-,-
20,Fase 2: Digestión (Pipeline),7.03,07 Pipeline,PDF Native Text Extraction (pdf-parse),Alta,Listo,4.0,Módulo que extrae texto de PDFs nativos usando pdf-parse v2.4.5 (gratis Apache-2.0). Si texto < 50 chars/página → marca como 'necesita OCR'. Guardar en extracted_texts. Costo: $0.,Media,7.02,,GPT-5.3 Codex High (cerebro) | Max OFF,GPT-5.3 Codex High (cerebro) | Max OFF,GPT-5.3 Codex Fast (cerebro) | Debug | Max OFF,-,-,-,-,-,-
21,Fase 2: Digestión (Pipeline),7.04,07 Pipeline,Google Document AI OCR Integration,Alta,Listo,6.0,SDK @google-cloud/documentai. Para PDFs escaneados. PDF → base64 → processDocument() → texto + metadata por página. Configurar GCP: procesador OCR + service account. PDFs grandes: dividir en lotes de 15 páginas. Costo: $1.50/1000 páginas.,Alta,7.03,,Gemini 3 Pro (cerebro) | Max OFF,GPT-5.3 Codex High (cerebro) | Max OFF,Gemini 3 Pro (cerebro) | Debug | Max OFF,-,-,-,-,-,-
22,Fase 2: Digestión (Pipeline),7.05,07 Pipeline,PDF Processing Orchestrator (Edge Function),Alta,Listo,7.0,Orquestador de extracción de texto de PDFs. Trigger al registrar documento. 1) Descargar PDF. 2) Intentar pdf-parse. 3) Si falla → Document AI. 4) Guardar en extracted_texts. 5) Queue con reintentos (max 3). PDFs >50MB → lotes. Propagar ROL + case_id + tipo como metadata. ALERTA TIMEOUT: Edge Functions tienen timeout de 60s (Supabase) o 150s (Pro). Una causa con muchos PDFs escaneados + OCR puede exceder este límite. ALTERNATIVAS A EVALUAR: 1) Supabase Database Webhooks + pg_net → llama a API Route Node.js (sin timeout corto). 2) Inngest/trigger.dev: job queue con steps y retries nativos. 3) Procesar cada PDF individualmente (un trigger por documento en vez de batch). RECOMENDACIÓN MVP: opción 3 (un documento por invocación de Edge Function) es la más simple y cabe en 60s por PDF. Si un PDF individual excede timeout con OCR → fallback a API Route Node.js con timeout largo.,Muy Alta,7.03 + 7.04,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,-,-,-,-,-,-
23,Fase 2: Digestión (Pipeline),7.06,07 Pipeline,pgvector Extension + Document Embeddings,Alta,Listo,4.0,Habilitar pgvector en Supabase. Tabla document_embeddings: chunk_id FK + case_id FK + embedding vector(768). Índice HNSW. RLS por user_id. CRÍTICO: índice debe soportar filtrado por case_id para RAG por causa.,Alta,7.02,Embeddings: text-embedding-004 ($0.00625/1M tokens),GPT-5.3 Codex Extra High (cerebro) | Max ON,GPT-5.3 Codex Extra High (cerebro) | Max ON,GPT-5.3 Codex High (cerebro) | Debug | Max OFF,-,-,-,-,-,-
24,Fase 2: Digestión (Pipeline),7.07a,07 Pipeline,PJUD Text Normalizer (Limpieza Artefactos Digitales),Alta,Listo,2.0,Módulo normalizer.ts en src/lib/pipeline/chunking/. Limpieza de artefactos digitales del sistema judicial PJUD ANTES del chunking. Se ejecuta sobre extracted_texts.full_text (texto original preservado como referencia en DB). Pipeline de limpieza: 1) Remover headers repetidos por página ('PODER JUDICIAL' + 'REPÚBLICA DE CHILE' + nombre tribunal) — extraer tribunal como metadata antes de eliminar. 2) Aislar/remover firmas electrónicas avanzadas ('Firmado electrónicamente por...' + timbres + códigos alfanuméricos de firma OJV Ley 20.886). 3) Separar Certificados de Ingreso (primera página/recuadro OJV con 'Certificado de Ingreso' + 'Corte Suprema' + ROL + Fecha + Hora) — preservar metadata extraída. 4) Eliminar foliatura suelta (números de folio en esquinas superiores/inferiores). 5) Normalizar encoding (tildes/ñ rotas por OCR de Document AI en PDFs escaneados). 6) Colapsar whitespace excesivo + saltos de línea irregulares preservando párrafos semánticos. 7) Remover marcas de agua o texto fantasma del OCR. PRINCIPIO: detectar → extraer metadata útil → remover del texto. Output: texto limpio + metadata extraída de artefactos. SIN normalización NO se puede chunkear bien: headers tribunales contaminan embeddings + RAG cita basura. Contexto legal: Ley 20.886 de Tramitación Electrónica introduce estos artefactos digitales en todos los documentos del OJV.,Media,7.05,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Delegable,1.0,Pedir a la IA un catálogo de artefactos digitales típicos del OJV/PJUD: headers + firmas + certificados + foliatura. Pedir regex robustos para cada tipo.,Verificar que la Ley 20.886 (Tramitación Electrónica) efectivamente introduce los artefactos descritos. Consultar formato oficial de firma electrónica avanzada en documentos judiciales chilenos.,Ejecutar normalizer sobre 10+ PDFs reales de PJUD (mezcla nativos + escaneados). Verificar visualmente que texto limpio preserva contenido legal y elimina artefactos. Verificar encoding tildes/ñ post-normalización.,-
25,Fase 2: Digestión (Pipeline),7.07b,07 Pipeline,Token-Based Chunker + Integración Orquestador,Alta,Listo,3.0,Chunking genérico funcional por tokens — primera pieza del pipeline que produce chunks utilizables para embedding/RAG. Target ~768 tokens con flexibilidad ±30% para respetar fronteras semánticas. Overlap 15% entre chunks consecutivos. Reglas de calidad: chunk mínimo ~50 tokens → merge con adyacente; chunk máximo ~1500 tokens → subdividir por párrafos internos; no generar chunks con solo whitespace o headers vacíos. IDEMPOTENCIA: DELETE FROM document_chunks WHERE document_id = X antes de INSERT (soporta reprocesamiento + re-sync). Integración directa en orchestrator.ts: después de guardar en extracted_texts → llamar a normalizer (7.07a) → chunkear → INSERT en document_chunks. Módulo en src/lib/pipeline/chunking/token-chunker.ts. Tokenización via tiktoken o aproximación chars/4. VALOR CLAVE: esta subtarea produce un pipeline funcional de punta a punta — se puede probar embeddings (7.08) y RAG (3.02) sin esperar detección de secciones legales (7.07c). Fallback genérico: si section-detector falla → chunking por tokens puro SIEMPRE funciona. Nunca dejar un documento sin chunks.,Media,7.07a,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual Light,1.5,Pedir a la IA que diseñe la lógica de chunking recursivo: primero intentar cortar por fronteras de sección → si no hay secciones detectadas → cortar por párrafos → último recurso: cortar por tokens. Pedir edge cases a considerar.,-,Ejecutar chunker sobre 5+ textos extraídos reales. Verificar que ningún documento queda sin chunks. Verificar distribución de tamaños (target ~768 tokens). Verificar que overlap 15% funciona correctamente.,-
26,Fase 2: Digestión (Pipeline),7.07c,07 Pipeline,Legal Section Detector (Regex Foro Chileno),Alta,Listo,4.0,Detector de secciones legales mediante regex/heurísticas del foro judicial chileno. Catálogo UNIFICADO de patrones (sin routing por procedimiento — los marcadores textuales son transversales a todos los procedimientos civiles). Módulo en src/lib/pipeline/chunking/section-detector.ts. SENTENCIAS/RESOLUCIONES (Art. 170 CPC): VISTOS → CONSIDERANDO/CONSIDERANDOS (numerados: '1°.-' + 'Segundo.-' + 'CONSIDERANDO:') → SE RESUELVE/FALLO/Y VISTO/Y TENIENDO PRESENTE. ESCRITOS PROCESALES (práctica forense): Suma → EN LO PRINCIPAL → PRIMER OTROSÍ → SEGUNDO OTROSÍ → POR TANTO/A S.S. PIDO/RUEGO A S.S. + Petitorio. ACTUACIONES RECEPTOR: fórmulas de inicio 'En [ciudad] a [fecha] siendo las [hora]...' → cuerpo diligencia → cierre 'Para constancia firmo'. DEMANDAS (Arts. 254/434 CPC): Presupuestos procesales (individualización + RUT + domicilio) → Hechos → Derecho ('En base al artículo...' + 'Conforme al Art.') → Petitorio. AUTOS/DECRETOS: dispositivos breves sin subsecciones. Output: lista de DetectedSection con tipo + offset_inicio + offset_fin + confidence. El token-chunker (7.07b) usa estas fronteras como puntos de corte prioritarios — si una sección cabe en el rango de tokens → un chunk por sección; si excede → subdividir por párrafos internos manteniendo section_type. Catálogo extensible: agregar patrones sin modificar lógica de chunking. PRINCIPIO: procedimiento como metadata en chunk pero NO como determinante de cómo se corta.,Alta,7.07b,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Semi-manual Light,2.0,Pedir a la IA que defina patrones regex/heurísticos para cada tipo de sección legal chilena: Vistos/Considerandos/Resolutivos (sentencias Art.170) + Suma/En lo principal/Otrosí/Petitorio (escritos) + Certificación/Diligencia/Resultado (actuaciones receptor). Cross-reference entre 2+ modelos.,Verificar Art.170 CPC (requisitos sentencia) + Art.254 (requisitos demanda) + Art.434 (títulos ejecutivos) en bcn.cl. Confirmar que las secciones que la IA define coinciden con lo que la ley exige para cada tipo de documento.,Ejecutar detector sobre textos de 10+ documentos reales. Verificar que secciones detectadas coinciden con estructura real del documento. Identificar falsos positivos/negativos y ajustar regex.,-
27,Fase 2: Digestión (Pipeline),7.07d,07 Pipeline,Chunk Metadata Enricher + Embedding Input Builder,Alta,Listo,2.0,Módulo en src/lib/pipeline/chunking/metadata-enricher.ts. Enriquece cada chunk con metadata heredada del documento padre + metadata detectada por section-detector. METADATA HEREDADA (de documents + processing_queue.metadata): document_id + case_id + document_type (sentencia/escrito/actuación/resolución) + folio_numero + cuaderno + fecha_tramite + desc_tramite + foja. METADATA DETECTADA: section_type del detector (vistos/considerandos/resolutivos/petitorio/otrosí/etc.) + page_number. METADATA DE CAUSA (de cases): procedimiento + libro_tipo + ROL + tribunal. PREPARACIÓN PARA EMBEDDINGS (7.08): función buildEmbeddingInput(chunk) que genera string enriquecido = [tipo_doc | sección | procedimiento | folio N | cuaderno X] + chunk_text. Este string es el INPUT del embedding — NO se guarda en chunk_text (que permanece puro) sino que 7.08 lo invoca al generar embeddings. Guardar toda metadata en campo metadata JSONB de document_chunks. CRÍTICO para sistema de citas (3.09): sin metadata rica el RAG no puede generar citas con foja + cuaderno + fecha.,Media,7.07c,,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 Max (cerebro) | Max ON,Opus 4.6 (cerebro) | Debug | Max ON,Delegable,1.0,-,-,Verificar que metadata heredada (folio + cuaderno + fecha) coincide con metadata visible en PJUD para 5+ documentos. Verificar que buildEmbeddingInput genera strings coherentes.,-
