Orden Ejecución,Fase Estratégica,ID,Bloque,Tarea,Prioridad,Estado,Horas Est.,Herramienta,Flujo Maestro,Aprendizaje Clave,Prompt Maestro / Referencia,Descripción Detallada,Nivel de Dificultad,Modelo AI Sugerido (2026),Justificación Modelo,Modo MAX Cursor,Estrategia Cycle Agent,Modo Cursor Sugerido,Estrategia Detallada de Ejecución
11,Fase 1: Ingesta (El Ojo),4.09,04 Scraper,PDF Validator & Causa Filter,Alta,Backlog,4.0,Cursor,Content Validation,Data Quality Gate,"PROMPT: Build validation pipeline for captured PDFs. Filters: 1) Size: reject <5KB and >100MB. 2) URL origin: must come from causa document section, not /ayuda/ or /manual/. 3) Content: verify %PDF magic bytes. 4) Deduplication: SHA-256 hash check against Supabase. 5) ROL tagging: tag every PDF with confirmed ROL, document type, and timestamp.","Puerta de validación entre la captura y el upload. Cada PDF capturado por las Layers 1 y 2 debe pasar esta cadena de filtros antes de subirse a Supabase. FILTRO 1 (Tamaño): Rechaza archivos menores a 5KB (probablemente iconos de ayuda o PDFs inline decorativos) y mayores a 100MB (corruptos o fuera de rango). FILTRO 2 (Origen URL): Verifica que la URL del PDF pertenezca a la sección de documentos de la causa, descartando PDFs de /ayuda/, /manual/, /faq/, /instrucciones/. FILTRO 3 (Contenido): Verifica los magic bytes '%PDF' al inicio del archivo. FILTRO 4 (Deduplicación): Calcula hash SHA-256 y lo compara contra documentos ya subidos para esa causa en Supabase, evitando duplicados. FILTRO 5 (ROL Tagging): Etiqueta cada PDF aprobado con el ROL confirmado, tipo de documento inferido (resolución, escrito, actuación, notificación), y timestamp de captura. Esta metadata es ESENCIAL para que el RAG (3.02) asocie correctamente cada documento a su causa sin contaminación cruzada.",Alta,GPT-5.2 Codex,"Lógica de validación crítica para integridad de datos. Un filtro mal calibrado contamina toda la cadena RAG. Requiere precisión en hashing, validación binaria y clasificación documental.",SÍ,2x (Verificación),Agent,"Cycle 2x obligatorio: primera pasada implementa filtros, segunda verifica con edge cases (PDFs de 1 byte, renombrados, duplicados con metadata distinta). MAX Mode para ver estructura de Storage."
12,Fase 1: Ingesta (El Ojo),4.10,04 Scraper,Human Throttle & Anti-WAF,Alta,Backlog,3.0,Cursor,Chrome API,Bot Evasion,"PROMPT: Build client-side throttling module. Gaussian random delays (2.5-7s, Box-Muller), burst protection (max 5/min), single concurrent request, full mouse event simulation (mouseover/mousedown/mouseup/click with randomized coordinates), session jitter.","Sistema de timing client-side que hace indistinguible al scraper de un humano lento. SOLUCIÓN A Vulnerabilidades 3.1 (Rate Limiting/WAF) y 3.2 (Fingerprinting). DELAYS GAUSSIANOS: Distribución gaussiana (Box-Muller) centrada en ~4.5s con varianza natural (2.5-7s). Un Math.random() uniforme es detectable; la gaussiana imita timing humano real. BURST PROTECTION: Máximo 5 acciones por ventana de 60 segundos. CONCURRENCIA ÚNICA: 1 request a la vez. SIMULACIÓN DE MOUSE: Secuencia completa de eventos con coordenadas aleatorias. NOTA: Complementario a 4.04 (Rate Guard server-side). 4.10 protege la IP del estudio jurídico ante el WAF del PJud. 4.04 protege nuestro servidor ante bots externos.",Media,Sonnet 4.5,Implementación matemática (distribución gaussiana) y simulación de eventos DOM.,SÍ,1x (Estándar),Agent,MAX Mode para integrarlo con el Strategy Engine (4.08) y asegurar que todas las acciones del scraper pasen por el throttle.
13,Fase 1: Ingesta (El Ojo),4.11,04 Scraper,Sync UI & User Confirmation Flow,Alta,Backlog,6.0,Cursor Composer,Composer Directo,One-Click UX,"PROMPT: Update Extension Sidepanel with complete sync flow: 1) Auto-display detected ROL and causa info from 4.07. 2) Preview list of found documents. 3) User confirms with 'Sincronizar' button. 4) Real-time progress bar (Layer 1 → Layer 2 → Filtering → Upload). 5) Results summary. 6) Manual Drag-Drop zone only if automatic layers fail.","Actualización del Sidepanel con el flujo completo de sincronización. PASO 1: Al navegar a una causa en pjud.cl, el Sidepanel muestra automáticamente: 'Causa C-12345-2026 - Juzgado Civil de Santiago - 15 documentos encontrados'. PASO 2: Preview de documentos agrupados por tipo (resoluciones, escritos, actuaciones). PASO 3: Abogado presiona 'Sincronizar' (UN SOLO CLICK). PASO 4: Barra de progreso: Captura (L1/L2) → Filtrado (4.09) → Validación → Upload (4.03). PASO 5: Resultado: '12/15 sincronizados (2 duplicados descartados, 1 rechazado por tamaño)'. PASO 6: Si L1+L2 fallan, aparece Drag & Drop (Layer 3). CLAVE UX: Aunque incluye confirmación de causa (el abogado ve qué se va a sincronizar), debe sentirse como fricción cero. La detección es automática; el botón es uno solo. El upload manual es un último recurso que ojalá nunca se use.",Alta,Sonnet 4.5,"UI compleja con múltiples estados (detección, preview, progreso, resultados, fallback). Sonnet es superior en UI/UX interactiva.",SÍ,1x (Estándar),Agent,MAX Mode obligatorio para integrar con módulos 4.07-4.10 y mantener coherencia visual con el Sidepanel existente.
14,Fase 1: Ingesta (El Ojo),5.01,05 Frontend,Vistas de Casos (Extensión + Dashboard),Alta,Backlog,12.5,Cursor Composer,Composer Directo,No-Upload UX,PROMPT: UI cases list for Sidepanel (primary) and Dashboard (secondary admin panel). Updates automatically when files are synced via Extension. Use React 19 useOptimistic hook for immediate feedback in the Sidepanel.,"Desarrollo de las vistas de listado de causas en DOS contextos: 1) VISTA PRINCIPAL en el Sidepanel de la Extensión de Chrome (donde el usuario trabaja diariamente), y 2) VISTA ADMINISTRATIVA en el Dashboard Web (para revisión y gestión desde escritorio). La clave es la sincronización en tiempo real: ambas interfaces deben actualizarse automáticamente (sin recargar) en cuanto la Extensión sube un nuevo expediente, utilizando las capacidades de suscripción a base de datos de Supabase o revalidación de Next.js. Se debe implementar el hook 'useOptimistic' de React 19 en el Sidepanel para mostrar el archivo en la lista inmediatamente mientras se sube en segundo plano. ACTUALIZACIÓN POST-SCRAPER: Cada PDF llega con metadata de ROL tribunal carátula y tipo de documento. La vista debe AGRUPAR documentos por causa (carpetas con ROL como título) y dentro de cada causa organizar por tipo (resoluciones escritos actuaciones notificaciones). No usar lista plana de archivos.",Muy Alta,Sonnet 4.5,"Complejidad alta de Frontend (Estado optimista, Sincronización Real-time). Sonnet brilla en React complejo.",SÍ,1x (Estándar),Agent,MAX Mode crucial para ver tanto el código del Sidepanel como del Dashboard y unificar la lógica de visualización.
15,Fase 1: Ingesta (El Ojo),1.06,01 Cimientos,Next.js 'use cache' Setup,Alta,Backlog,4.0,Cursor,Config Next.js,Performance 2026,PROMPT: Implement 'use cache' directive in server components to optimize case list fetching speed in both Sidepanel (via API) and Dashboard (secondary admin panel).,"Implementación de la directiva 'use cache' de Next.js (característica avanzada de la versión 16) en los componentes del servidor que sirven datos tanto al Sidepanel de la Extensión (mediante API Routes) como al Dashboard Web (panel administrativo). El objetivo es cachear agresivamente las listas de causas y datos estáticos para que la carga sea instantánea en ambos contextos, mejorando la experiencia de usuario frente a sistemas judiciales lentos. Prioridad en optimización del Sidepanel por ser la interfaz principal.",Media,GPT-5.2 Codex,Optimización de bajo nivel (Backend for Frontend). Requiere conocimiento técnico profundo de Next.js internals.,SÍ,1x (Estándar),Agent,Analizar componentes existentes con MAX Mode para aplicar 'use cache' estratégicamente sin romper la revalidación.
16,Fase 2: Digestión (El Cerebro),2.04,02 Storage,Supabase Vector Store,Alta,Backlog,4.0,Supabase AI,Dashboard AI,Vector Embeddings,PROMPT: Enable pgvector extension and create 'document_embeddings' table. Optimized for legal text retrieval.,"Habilitación de la extensión 'pgvector' en la base de datos Postgres de Supabase y creación de la tabla 'document_embeddings'. Esta tabla almacenará las representaciones vectoriales (embeddings) de los textos legales extraídos de los PDF. Es el cerebro de la búsqueda semántica que permitirá a la IA encontrar precedentes o párrafos específicos dentro de los expedientes.",Alta,Gemini 3 Pro,Manejo de bases de datos grandes y extensiones específicas (pgvector). Contexto amplio útil para SQL complejos.,SÍ,1x (Estándar),Agent,Configurar pgvector. Gemini puede inferir índices óptimos leyendo la estructura de datos definida en tareas anteriores.
17,Fase 2: Digestión (El Cerebro),3.01,03 Cerebro,Gemini 3.0 API Setup,Alta,Backlog,4.0,Cursor,Secrets Management,Multimodal AI,PROMPT: Configure Google AI Studio SDK with dual model routing. Create server-side utility: gemini-3-flash for Fast Chat and gemini-3-pro for Deep Thinking. Single API key and SDK install. Model selection via config constant.,"Configuración del SDK Google AI (@google/generative-ai) con routing dual de modelos. ESTRATEGIA DE MODELOS (Benchmark Legal LM Arena Feb 2026): 1) Fast Chat → gemini-3-flash (Score Legal #1: 1510 puntos. Precio: $0.30/$2.50 por M tokens input/output). 2) Deep Thinking → gemini-3-pro con thinking mode habilitado (Score Legal #4: 1501 puntos. Precio: $2/$12 por M tokens input/output). JUSTIFICACIÓN ECONÓMICA: Con un solo modelo Pro para todo un usuario Pro pesado (1000 chats + 100 deep thinking) costaría ~$34.60/mes superando el precio de suscripción ($29.90). Con Flash para chat el costo baja a ~$16.60/mes (margen 44%). IMPLEMENTACIÓN: Un solo paquete SDK una sola API key. El routing es una constante de configuración: mode === 'deep_thinking' ? 'gemini-3-pro' : 'gemini-3-flash'. Se crea utilidad server-side en src/lib/gemini.ts con función getModel(mode) que retorna la instancia correcta. Se elimina la lógica de enrutamiento complejo. La diferenciación de planes sigue siendo persistencia de datos (eterna vs 3 días) y cantidad de Deep Thinking.",Media,Gemini 3.0 Pro (Unified),Conocimiento nativo de su propia API (Google AI SDK). Mejor para configuraciones de Vertex/Gemini.,NO,1x (Estándar),Agent,Implementación de utilidad SDK. Tarea autocontenida.
18,Fase 2: Digestión (El Cerebro),3.02,03 Cerebro,RAG Pipeline Base,Alta,Backlog,10.0,Cursor Composer,Composer Max Mode,Context Retrieval,"PROMPT: Implement RAG pipeline. Two modes: 1) 'Fast Chat' (Standard RAG) using gemini-3-flash. 2) 'Deep Thinking' (Agentic Chain of Thought) using gemini-3-pro with thinking mode. Both modes require ROL as mandatory context parameter.","Implementación del pipeline RAG. ACTUALIZACIÓN: Implementar dos modos. 1) 'Fast Chat': RAG estándar (Búsqueda + Respuesta) para consultas rápidas. 2) 'Deep Thinking' (Limitado): Agente autónomo con Chain of Thought que planifica pasos antes de responder exclusivo para usuarios con créditos disponibles. MODELOS DE PRODUCCIÓN (Feb 2026): Fast Chat invoca gemini-3-flash (Score Legal #1 en LM Arena: 1510 puntos. $0.30/$2.50 por M tokens. Menor latencia óptimo para respuestas rápidas). Deep Thinking invoca gemini-3-pro con thinking mode habilitado ($2/$12 por M tokens. Razonamiento más profundo ideal para Chain of Thought legal). Ambos modelos usan el mismo SDK configurado en 3.01; la selección se hace via getModel(mode). ACTUALIZACIÓN POST-SCRAPER: El RAG DEBE recibir el ROL como parámetro de contexto obligatorio. Al buscar embeddings filtrar SOLO por la causa consultada (ROL) para evitar contaminación cruzada entre causas. Cuando el abogado pregunte sobre una causa la IA responde exclusivamente con información de esa causa.",Muy Alta,GPT-5.2,El 'Cerebro' del sistema. Requiere máxima capacidad lógica para orquestar RAG y evitar alucinaciones.,SÍ,4x (Arquitectura),Plan -> Agent,Usar 'Plan' primero. Cycle 4x para generar 4 estrategias de RAG (ej. HyDE vs Vector simple) y elegir la mejor. MAX Mode obligatorio.
19,Fase 2: Digestión (El Cerebro),3.03,03 Cerebro,Editor de Escritos con IA,Alta,Backlog,12.0,Cursor Composer,Composer Directo,AI Writing Assistant,"PROMPT: Create AI-assisted rich text editor using Tiptap/Slate. Features: 'Rewrite legalese', 'Expand argument'. Lives in Extension Sidepanel.","Desarrollo del editor de textos jurídicos potenciado por IA dentro del Sidepanel de la Extensión. Utilizando librerías como Tiptap o Slate.js, se crean funcionalidades específicas para abogados: un botón 'Reescribir formal', 'Expandir argumento jurídico', o 'Citar jurisprudencia'. El editor debe permitir la interacción fluida entre el texto que escribe el abogado y las sugerencias de la IA en tiempo real.",Muy Alta,Sonnet 4.5,Editor de texto rico (Rich Text) requiere manejo experto de DOM y UI interactiva compleja.,SÍ,4x (Creatividad),Agent,Cycle 4x para proponer diferentes UX de interacción IA-Abogado (ej. menú flotante vs sidebar). Sonnet implementa la ganadora.
20,Fase 2: Digestión (El Cerebro),3.04,03 Cerebro,Prompt Engineering Legal,Alta,Backlog,8.0,Cursor,Prompting Manual,Legal Accuracy,"PROMPT: Develop and test system prompts for 'Juez Mode', 'Defensor Mode'. Optimize for Chilean law context. CRITICAL: Calibrate prompts for BOTH gemini-3-flash (Fast Chat) and gemini-3-pro (Deep Thinking) as they have different response characteristics.","Diseño prueba y refinamiento de los 'System Prompts' que guían a la IA. Se crean perfiles específicos como 'Modo Juez' (imparcial) 'Modo Defensor' (agresivo/estratégico) y se ajusta el contexto para que la IA entienda y utilice terminología jurídica chilena correcta. CALIBRACIÓN DUAL DE MODELOS: Los prompts deben probarse y ajustarse tanto en gemini-3-flash (Fast Chat) como en gemini-3-pro (Deep Thinking) ya que tienen características de respuesta diferentes. Flash tiende a respuestas más concisas y directas; Pro permite cadenas de razonamiento más largas y detalladas. Para Fast Chat: system prompts concisos que prioricen respuesta directa con cita de fuente (folio artículo). Para Deep Thinking: system prompts que incluyan instrucciones explícitas de Chain of Thought ('Analiza paso a paso: 1) Identifica el marco legal aplicable 2) Cita el artículo y folio relevante 3) Evalúa precedentes de la causa 4) Concluye con recomendación fundamentada'). Ambos modos deben respetar el filtro de ROL: responder SOLO con información de la causa consultada.",Alta,GPT-5.2,Superior en comprensión lingüística y matices para Prompt Engineering jurídico.,SÍ,4x (Refinamiento),Agent/Chat,Iterar prompts con Cycle 4x para ver qué versión produce mejores respuestas legales. MAX Mode para que lea ejemplos de causas reales.
21,Fase 3: Producción (El Escudo),5.02,05 Frontend,Landing Page (Venta),Media,Backlog,8.0,Cursor Composer,Composer Directo,Conversion UI,"PROMPT: Build high-conversion landing page with pricing sections, 'How it works', and Extension download link.","Diseño de Landing Page. ACTUALIZACIÓN PRECIOS: Destacar propuesta 'Todo o Nada'. Plan Free: 'Prueba de 3 días sin tarjeta'. Plan Pro: '$29.90/mes - Poder Ilimitado'. Eliminar menciones a planes intermedios.",Baja,Sonnet 4.5,Mejor sentido estético para diseño web y Landing Pages de alta conversión.,NO,4x (Diseño),Agent,"Generar 4 variantes de diseño visual con Cycle 4x. Elegir la más atractiva. Tarea aislada, no requiere MAX Mode."
22,Fase 3: Producción (El Escudo),5.03,05 Frontend,Legal & Terms Pages,Baja,Backlog,2.0,Cursor,Generador Textos,Compliance,"PROMPT: Create static pages for Terms of Service, Privacy Policy (Chrome Store requirement).","Creación de las páginas estáticas obligatorias para cualquier SaaS y extensión de Chrome: Términos de Servicio y Política de Privacidad. Son requisitos indispensables para que Google apruebe la publicación de la extensión en la Chrome Web Store. Deben ser accesibles públicamente.",Baja,GPT-5.2,Generación de texto formal y legal (Términos y condiciones) precisa.,NO,1x (Estándar),Agent,Generación de contenido estático. Directo y rápido.
23,Fase 1: Ingesta (El Ojo),4.12,04 Scraper,SQL: Document Hashes Table,Alta,Backlog,2.0,Supabase AI,Dashboard AI,Server-side Dedup,"PROMPT: SQL migration for document_hashes table. Columns: user_id (uuid) rol (text) hash (text) filename (text) document_type (text) uploaded_at (timestamptz). RLS: Users read/insert own rows. UNIQUE(user_id hash).","Migración SQL para crear tabla 'document_hashes' en Supabase. Resuelve que la deduplicación de PDFs depende de chrome.storage.local (se pierde al cambiar PC / no funciona entre abogados del mismo estudio / se borra al limpiar navegador). La tabla almacena hash SHA-256 de cada PDF subido asociado a user_id y ROL. Permite: 1) Deduplicación server-side persistente. 2) Que dos abogados del mismo estudio no dupliquen documentos. 3) Que el PdfValidator (4.09) consulte hashes antes de subir. 4) Que el PDF Parser (4.02) registre hashes tras procesar. RLS: Cada usuario solo ve sus propios hashes.",Media,GPT-5.2,Precisión en esquema SQL y políticas RLS. Complementa tabla profiles (1.04).,SÍ,1x (Estándar),Agent,Migración SQL directa. MAX Mode para alinear con tabla profiles y bucket case-files existentes.
